Year,January,February,March,April,May,June,July,August,September,October,November,December,
1870,3.3000,2.8000,4.7000,9.2000,11.7000,15.2000,17.5000,15.7000,12.9000,9.5000,4.7000,0.6000,
1871,0.5000,6.1000,7.3000,8.7000,11.3000,12.8000,15.2000,17.2000,12.7000,9.8000,3.4000,3.6000,
1872,5.0000,6.9000,6.8000,8.2000,9.7000,14.1000,17.1000,15.3000,13.2000,8.4000,7.0000,5.3000,
1873,5.2000,1.8000,5.4000,7.7000,9.9000,14.2000,16.2000,15.4000,11.8000,8.6000,6.3000,5.3000,
1874,5.5000,3.9000,6.7000,9.8000,10.0000,13.9000,17.3000,15.1000,13.6000,10.4000,5.6000,-0.2000,
1875,6.4000,2.3000,5.1000,8.6000,12.3000,14.2000,14.8000,16.1000,14.9000,8.9000,5.4000,4.2000,
1876,3.2000,4.8000,4.5000,7.9000,9.6000,14.3000,17.2000,16.5000,12.7000,11.3000,6.1000,6.0000,
1877,5.5000,6.2000,4.9000,7.0000,9.1000,15.2000,14.7000,15.2000,11.2000,9.3000,7.1000,4.7000,
1878,4.6000,5.6000,5.4000,8.9000,11.8000,15.1000,16.6000,16.2000,13.3000,10.2000,3.5000,-0.3000,
1879,-0.7000,3.1000,4.7000,5.7000,8.9000,12.9000,13.6000,14.5000,12.6000,8.9000,4.1000,0.7000,
1880,0.9000,5.8000,6.2000,7.9000,10.4000,13.8000,15.5000,16.4000,14.6000,7.1000,5.4000,5.1000,
1881,-1.5000,3.2000,5.3000,7.3000,11.8000,13.7000,16.2000,13.9000,12.7000,7.3000,8.9000,3.9000,
1882,5.2000,6.1000,7.4000,8.4000,11.5000,13.1000,15.2000,14.9000,12.1000,9.9000,5.7000,3.9000,
1883,4.7000,5.9000,1.8000,8.1000,10.6000,13.9000,14.5000,15.3000,13.3000,9.7000,5.8000,4.6000,
1884,6.5000,5.3000,6.5000,7.2000,11.3000,14.1000,16.3000,17.2000,14.5000,9.4000,5.3000,4.4000,
1885,2.9000,5.8000,4.5000,7.7000,8.9000,13.9000,16.3000,13.6000,12.2000,7.5000,5.9000,3.7000,
1886,2.1000,1.5000,4.2000,7.6000,10.3000,13.5000,15.9000,15.8000,13.6000,11.3000,6.6000,1.9000,
1887,2.4000,3.8000,3.3000,6.2000,9.4000,15.3000,17.3000,15.7000,11.8000,7.1000,4.4000,2.6000,
1888,3.2000,1.8000,3.1000,6.2000,10.7000,13.2000,13.7000,14.1000,12.2000,7.9000,7.7000,4.9000,
1889,3.4000,2.9000,4.7000,7.1000,12.9000,15.3000,15.3000,14.7000,12.8000,8.6000,6.9000,3.3000,
1890,5.7000,3.1000,6.2000,7.1000,11.7000,13.5000,14.5000,14.1000,14.6000,9.4000,5.7000,-0.8000,
1891,1.3000,3.9000,3.8000,6.2000,9.5000,14.7000,15.1000,14.1000,14.2000,9.4000,5.6000,4.1000,
1892,2.3000,3.6000,2.7000,7.3000,11.6000,13.4000,14.3000,15.2000,12.4000,7.1000,6.4000,1.8000,
1893,2.2000,4.7000,7.2000,10.3000,13.1000,15.6000,16.4000,17.4000,12.9000,9.9000,5.2000,4.8000,
1894,3.4000,5.1000,6.7000,9.7000,9.2000,13.5000,15.9000,14.2000,11.6000,9.3000,7.9000,5.1000,
1895,0.2000,-1.8000,5.1000,8.2000,12.4000,14.8000,15.2000,15.8000,15.4000,7.1000,7.5000,3.9000,
1896,4.8000,4.6000,6.7000,9.1000,11.9000,16.2000,16.2000,14.3000,13.1000,6.9000,4.3000,3.9000,
1897,1.6000,5.8000,6.5000,7.1000,10.0000,15.1000,16.5000,16.2000,12.1000,9.9000,7.6000,4.7000,
1898,6.6000,4.8000,4.3000,8.5000,10.2000,13.6000,15.3000,16.5000,15.2000,11.3000,7.2000,7.3000,
1899,4.9000,5.1000,5.1000,7.8000,9.9000,15.7000,17.3000,17.8000,13.2000,8.8000,8.5000,2.2000,
1900,4.4000,2.6000,3.7000,8.3000,10.3000,14.7000,17.7000,15.1000,13.6000,9.8000,7.3000,7.2000,
1901,3.5000,2.3000,4.1000,8.6000,11.5000,13.9000,18.0000,15.6000,13.9000,9.7000,4.8000,3.4000,
1902,4.7000,1.5000,6.7000,7.5000,8.9000,13.9000,14.7000,14.3000,12.8000,9.6000,6.8000,4.6000,
1903,4.2000,7.1000,7.1000,6.4000,11.1000,13.0000,15.3000,14.3000,13.1000,10.5000,6.4000,3.3000,
1904,4.1000,3.4000,4.3000,8.7000,10.9000,13.3000,17.1000,15.1000,12.5000,9.7000,5.2000,3.7000,
1905,3.6000,5.2000,6.8000,7.3000,10.8000,14.7000,17.2000,14.7000,12.4000,7.1000,4.9000,4.9000,
1906,5.3000,3.1000,5.1000,7.3000,10.5000,14.3000,15.8000,16.7000,13.9000,10.9000,7.3000,3.0000,
1907,3.6000,2.8000,6.3000,7.6000,10.5000,12.4000,14.1000,14.3000,13.6000,9.8000,6.5000,4.6000,
1908,2.5000,5.3000,4.3000,6.0000,12.4000,14.3000,15.8000,14.6000,12.9000,12.9000,7.4000,3.9000,
1909,3.5000,2.9000,3.7000,8.7000,11.0000,11.8000,14.6000,15.4000,11.9000,10.4000,4.8000,3.9000,
1910,3.5000,5.1000,5.6000,7.3000,11.2000,14.7000,14.2000,15.2000,12.5000,10.6000,3.2000,6.4000,
1911,3.8000,4.8000,5.2000,7.5000,12.9000,14.5000,18.2000,18.2000,13.9000,9.3000,6.1000,6.2000,
1912,3.6000,5.4000,7.2000,8.8000,12.1000,13.9000,16.1000,12.9000,11.1000,8.2000,6.3000,6.7000,
1913,4.5000,4.8000,6.2000,7.9000,11.4000,14.3000,14.6000,15.2000,14.1000,10.9000,8.4000,5.1000,
1914,3.7000,6.8000,6.1000,9.8000,10.8000,14.5000,15.8000,16.1000,13.3000,10.3000,6.8000,4.6000,
1915,4.1000,4.3000,5.2000,7.9000,10.8000,14.4000,14.6000,15.3000,13.4000,9.1000,2.8000,5.3000,
1916,7.5000,3.8000,3.3000,8.2000,11.6000,11.8000,15.3000,16.4000,13.0000,10.6000,6.8000,1.9000,
1917,1.6000,0.9000,3.2000,5.4000,12.8000,15.2000,16.1000,15.3000,14.0000,7.5000,7.8000,2.3000,
1918,3.8000,6.5000,5.7000,6.7000,13.0000,13.3000,15.4000,16.1000,11.9000,9.3000,5.5000,6.9000,
1919,2.9000,1.9000,3.6000,7.1000,13.5000,14.3000,13.9000,15.7000,12.7000,7.4000,3.3000,5.5000,
1920,5.2000,6.0000,7.2000,8.2000,11.8000,14.4000,14.1000,13.6000,13.0000,10.4000,6.8000,4.2000,
1921,7.3000,4.8000,7.4000,8.0000,11.5000,14.7000,18.5000,15.4000,14.1000,12.8000,4.6000,6.5000,
1922,3.7000,4.4000,4.6000,5.5000,12.7000,13.8000,13.7000,13.6000,12.2000,8.2000,5.9000,5.8000,
1923,5.6000,5.6000,6.5000,7.6000,9.2000,12.5000,17.5000,15.2000,12.5000,9.7000,3.3000,3.8000,
1924,4.7000,3.3000,4.1000,6.9000,11.6000,13.9000,15.3000,14.1000,13.3000,10.1000,7.1000,6.8000,
1925,5.3000,5.2000,4.9000,7.5000,11.6000,15.0000,16.8000,15.4000,11.5000,10.4000,3.6000,2.8000,
1926,4.6000,6.8000,6.3000,9.3000,10.2000,13.6000,17.1000,16.2000,14.4000,8.1000,5.9000,4.2000,
1927,4.6000,3.9000,7.3000,7.9000,11.2000,12.6000,15.9000,15.7000,12.5000,10.5000,6.2000,2.1000,
1928,5.2000,5.8000,6.3000,8.5000,10.9000,12.9000,16.1000,15.3000,12.8000,10.1000,7.6000,3.4000,
1929,1.3000,0.4000,6.2000,6.8000,11.3000,13.3000,16.0000,15.4000,15.3000,9.6000,6.7000,5.8000,
1930,5.6000,2.5000,5.3000,8.3000,10.7000,15.3000,15.2000,15.7000,13.6000,10.5000,6.2000,4.3000,
1931,3.2000,3.9000,4.2000,7.7000,11.4000,14.4000,15.3000,14.4000,11.5000,8.8000,7.8000,5.3000,
1932,6.3000,2.9000,4.7000,6.9000,10.5000,14.1000,16.1000,17.1000,12.9000,8.8000,6.6000,5.7000,
1933,2.2000,4.3000,7.3000,8.8000,12.2000,15.6000,17.8000,17.6000,14.9000,10.1000,5.6000,1.6000,
1934,4.1000,3.8000,4.8000,8.0000,11.3000,14.9000,18.2000,15.4000,14.6000,10.6000,6.1000,8.1000,
1935,4.5000,5.8000,6.6000,8.2000,9.9000,15.1000,17.1000,16.6000,13.6000,9.5000,6.9000,2.8000,
1936,3.7000,2.6000,7.1000,6.3000,11.5000,14.7000,15.3000,16.1000,14.4000,9.4000,5.5000,5.3000,
1937,5.2000,5.6000,3.6000,9.2000,12.2000,14.1000,16.1000,16.9000,13.4000,10.4000,5.1000,3.0000,
1938,5.7000,5.1000,9.1000,7.6000,10.7000,14.4000,15.2000,16.3000,13.8000,10.5000,9.4000,4.4000,
